filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_855_ch_1312_strand.fast5	38e3e9fb-e993-4316-827a-d68bb49c37d5	f92717327e20661b488f6bebe7463e7dfa7490be	1312	1713.92775	1.88425	1356	True	0.189	1356	1.69525	1356	981	10.67	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_827_ch_1636_strand.fast5	4e7e3fb7-3456-45dd-bd87-5d6961a8936f	f92717327e20661b488f6bebe7463e7dfa7490be	1636	1695.94325	5.5855	4468	False	0.0	4468	5.5855	4468	72	3.812	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_564_ch_1280_strand.fast5	632452d7-ed90-4683-93f7-fb2bbc7b33e4	f92717327e20661b488f6bebe7463e7dfa7490be	1280	1703.5605	3.48975	2774	True	0.02125	2774	3.4685	2774	2022	10.368	-0.0005
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_948_ch_328_strand.fast5	67ad2344-041c-4fd9-a191-c520837022f4	f92717327e20661b488f6bebe7463e7dfa7490be	328	1699.6635	1.71875	1315	True	0.0745	1315	1.64425	1315	1019	10.041	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_935_ch_435_strand.fast5	71e06658-39c1-4cf3-88a9-ee8ab131a080	f92717327e20661b488f6bebe7463e7dfa7490be	435	1746.28925	1.1345	907	True	0.0	907	1.1345	907	656	11.754	-0.0021
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1164_ch_437_strand.fast5	83e90f0c-933e-46dd-971e-152e7acc87e4	f92717327e20661b488f6bebe7463e7dfa7490be	437	1761.66825	1.19125	944	True	0.011	944	1.18025	944	715	10.346	-0.0019
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1466_ch_1444_strand.fast5	9ed07c4e-d33a-435b-8761-27eeb2769287	f92717327e20661b488f6bebe7463e7dfa7490be	1444	1717.8765	1.8215	1457	True	0.0	1457	1.8215	1457	1108	11.112	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_806_ch_734_strand.fast5	c201c5b1-b829-4581-ae51-ed6c85a1e234	f92717327e20661b488f6bebe7463e7dfa7490be	734	1712.46725	5.746	4493	True	0.12875	4493	5.61725	4493	3163	10.742	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1893_ch_489_strand.fast5	cc993cd2-5b78-448a-9aa8-5d112e7d1037	f92717327e20661b488f6bebe7463e7dfa7490be	489	1707.934	1.408	1056	True	0.08725	1056	1.32075	1056	697	10.412	-0.0015
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1074_ch_1958_strand.fast5	cdd61768-c816-489b-9047-ae97d5665d41	f92717327e20661b488f6bebe7463e7dfa7490be	1958	1717.07075	4.3785	3471	True	0.0395	3471	4.339	3471	2706	13.676	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1189_ch_1671_strand.fast5	ed0a2732-ceac-4089-adf3-5bebdcdcf3c7	f92717327e20661b488f6bebe7463e7dfa7490be	1671	1758.2785	12.58	10050	True	0.0165	10050	12.5635	10050	6950	8.831	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_815_ch_1513_strand.fast5	f5fe8cbd-3105-424f-9868-e5c44ee4cf05	f92717327e20661b488f6bebe7463e7dfa7490be	1513	1737.726	15.8785	12702	False	0.0	12702	15.8785	12702	278	3.488	-0.0004
